#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPB2	RPB9	634676	630960	4932.YOR151C	4932.YGL070C	0	0	0	0	0.068	0.997	0.900	0.926	0.999
RPO26	RPC10	635441	631710	4932.YPR187W	4932.YHR143W-A	0	0	0	0	0.621	0.997	0.900	0.951	0.999
RPB8	RPB2	634756	634676	4932.YOR224C	4932.YOR151C	0	0	0	0	0.066	0.999	0.900	0.929	0.999
RPB2	RPB3	634676	631829	4932.YOR151C	4932.YIL021W	0.321	0	0	0	0.582	0.999	0.925	0.934	0.999
RPB2	RPO21	634676	629709	4932.YOR151C	4932.YDL140C	0.321	0	0	0	0.980	0.999	0.924	0.951	0.999
RPC40	RPA135	635350	635246	4932.YPR110C	4932.YPR010C	0.321	0	0	0	0.964	0.996	0.958	0.600	0.999
RPB10	RPO21	634742	629709	4932.YOR210W	4932.YDL140C	0.048	0	0	0	0.052	0.999	0.900	0.841	0.999
RPO26	RPA135	635441	635246	4932.YPR187W	4932.YPR010C	0	0	0	0	0.324	0.997	0.900	0.650	0.999
RET1	RPO21	634739	629709	4932.YOR207C	4932.YDL140C	0.321	0	0	0	0.978	0.828	0.924	0.652	0.999
RPB11	RPB3	634339	631829	4932.YOL005C	4932.YIL021W	0	0	0	0	0.179	0.999	0.924	0.930	0.999
